asset,size,unit,exchange,quote,currency,tic,tradable,symbol
OIL,1000,barrel,CME,1,USD,0.01,1,CL
GAS,10000,MMBtu,CME,1,USD,0.001,1,NG
GOLD,100,troy ounce,CME,1,USD,0.10 ,1,GC
SILVER,5000,troy ounce,CME,1,USD,0.01,1,SI
CORN,5000,bushel,CME,0.01,USD,0.0025,1,ZC
SOY,5000,bushel,CME,0.01,USD,0.00125,1,ZS
WHEAT,5000,bushel,CME,0.01,USD,0.00125,1,ZW
CATTLE,40000,lb,CME,0.01,USD,0.00025,1,LE
HOGS,40000,lb,CME,0.01,USD,0.00025,1,HE
COCOA,10,tonne,NYBOT,1,USD,1,1,CC
FTSE100,1000,point,ICEEU,1,GBP,0.005,1,Z
EEM,100,USD,ONE,1,USD,0.0001,1,EEM
BONDS,1000,USD,ECBOT,1,USD,0.03125,1,ZB
BUNDS,1000,EUR,DTB,1,EUR,0.01,1,GBL
JGBS,1000000,JPY,OSE.JPN,,JPY,0.01,1,JGB
VIX,1000,USD,CFE,1,USD,0.05,1,VIX
AUD,100000,AUD,CME,1,AUD,0.0001,1,AUD
CAD,100000,CAD,CME,1,CAD,0.0001,1,CAD
CHF,125000,CHF,CME,1,CHF,0.0001,1,CHF
EUR,125000,EUR,CME,1,EUR,0.00005,1,EUR
GBP,625000,GBP,CME,1,GBP,0.0001,1,GBP
JPY,12500000,JPY,CME,1,JPY,0.0000005 ,1,JPY
MXN,500000,MXN,CME,1,MXN,0.00001,1,MXN
ORANGE,15000,lb,NYBOT,1,USD,0.05,1,OJ
SUGAR,112000,lb,NYBOT,1,USD,0.0001,1,SB
COTTON,50000,lb,NYBOT,0.01,USD,0.0001,1,CT
SP500,50,point,CME,1,USD,0.25,1,ES
NIKKEI225,1000,point,OSE.JPN,1,JPY,10,1,N225
ESTX50,10,point,DTB,1,EUR,1,1,ESTX50
NQ100,20,point,CME,1,USD,0.25,0,NQ
RICE,2000,bushel,ECBOT,1,USD,0.005,0,ZR
