name	exchange	symbol	industry	inclusion_date	ivolatility_symbol	note
Apple	NASDAQ	AAPL	Information technologies	2015-03-19	AAPL:NASDAQ	
American Express	NYSE	AXP	Financial services	1982-08-30	AXP:NYSE	
Boeing	NYSE	BA	Aerospace and defense	1987-03-12	BA:NYSE	
Caterpillar	NYSE	CAT	Construction and mining equipment	1991-05-06	CAT:NYSE	
Cisco Systems	NASDAQ	CSCO	Information technologies	2009-06-08	CSCO:NASDAQ	
Chevron	NYSE	CVX	Oil & gas	2008-02-19	CVX:NYSE	also 1930-07-18 to 1999-11-01
Walt Disney	NYSE	DIS	Broadcasting and entertainment	1991-05-06	DIS:NYSE	
DowDuPont	NYSE	DWDP	Chemical industry	2017-09-01	DWDP:NYSE	"Essentially, as continuation of E.I. du Pont de Nemours & Company's appearance since 1935-11-20, but officially a new company due to its merger with Dow Chemical Company on the same day.[7]"
Goldman Sachs	NYSE	GS	Financial services	2013-09-20	GS:NYSE	
The Home Depot	NYSE	HD	Retail	1999-11-01	HD:NYSE	
IBM	NYSE	IBM	Information technologies	1979-06-29	IBM:NYSE	also 1932-05-26 to 1939-03-04
Intel	NASDAQ	INTC	Information technologies	1999-11-01	INTC:NASDAQ	
Johnson & Johnson	NYSE	JNJ	Pharmaceuticals	1997-03-17	JNJ:NYSE	
JPMorgan Chase	NYSE	JPM	Financial services	1991-05-06	JPM:NYSE	
Coca-Cola	NYSE	KO	Food	1987-03-12	KO:NYSE	also 1932-05-26 to 1935-11-20
McDonald's	NYSE	MCD	Food	1985-10-30	MCD:NYSE	
3M	NYSE	MMM	Conglomerate	1976-08-09	MMM:NYSE	as Minnesota Mining and Manufacturing
Merck & Company	NYSE	MRK	Pharmaceuticals	1979-06-29	MRK:NYSE	
Microsoft	NASDAQ	MSFT	Information technologies	1999-11-01	MSFT:NASDAQ	
Nike	NYSE	NKE	Apparel	2013-09-20	NKE:NYSE	
Pfizer	NYSE	PFE	Pharmaceuticals	2004-04-08	PFE:NYSE	
Procter & Gamble	NYSE	PG	Consumer goods	1932-05-26	PG:NYSE	
Travelers	NYSE	TRV	Insurance	2009-06-08	TRV:NYSE	
UnitedHealth Group	NYSE	UNH	Managed health care	2012-09-24	UNH:NYSE	
United Technologies	NYSE	UTX	Conglomerate	1939-03-14	UTX:NYSE	as United Aircraft
Visa	NYSE	V	Financial services	2013-09-20	V:NYSE	
Verizon	NYSE	VZ	Telecommunication	2004-04-08	VZ:NYSE	
Walgreens Boots Alliance	NASDAQ	WBA	Retail	2018-06-26	WBA:NASDAQ	
Walmart	NYSE	WMT	Retail	1997-03-17	WMT:NYSE	
ExxonMobil	NYSE	XOM	Oil & gas	2028-10-01	XOM:NYSE	as Standard Oil of New Jersey
